Run,bases,avgLength,size_MB,LibraryStrategy,Platform,Model
SRR10245289,97312340,600,71,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245288,127584597,600,86,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245287,167070010,600,110,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245285,127687566,601,84,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245284,121850039,600,80,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245283,157420155,600,104,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245282,188127068,600,124,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245281,104723252,600,69,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245280,155860473,600,103,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245279,155298955,600,88,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245353,184258891,601,123,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245352,316807915,600,177,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245341,218143940,597,144,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245351,151251130,597,97,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245350,249748344,594,163,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245349,175017315,597,113,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245348,153215858,599,99,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245347,169425435,597,112,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245346,159071575,595,103,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245345,218845158,598,143,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245344,154318388,597,100,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245343,129594850,601,65,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245342,144964806,600,79,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245340,130627707,601,73,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245339,198394487,601,112,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245338,21645200,600,10,AMPLICON,ILLUMINA,Illumina MiSeq
SRR10245337,162046193,601,82,AMPLICON,ILLUMINA,Illumina MiSeq
SRR7450750,111240492,302,63,AMPLICON,ILLUMINA,Illumina MiSeq
SRR7450740,158521310,302,85,AMPLICON,ILLUMINA,Illumina MiSeq
SRR7450741,23877630,302,12,AMPLICON,ILLUMINA,Illumina MiSeq
SRR7450738,24654978,302,13,AMPLICON,ILLUMINA,Illumina MiSeq
SRR7450759,18923018,302,9,AMPLICON,ILLUMINA,Illumina MiSeq
SRR7450752,10827304,302,6,AMPLICON,ILLUMINA,Illumina MiSeq
